title,description,link,source
"Coronavirus India live updates: cases, deaths and news, today","Live coverage of the Covid-19 pandemic in India: breaking news, latest updates and statistics as they emerge throughout today, Sunday, 5 July.",AS English,https://www.news.google.com/./articles/CBMiQmh0dHBzOi8vZW4uYXMuY29tL2VuLzIwMjAvMDcvMDUvbGF0ZXN0X25ld3MvMTU5MzkzMDE1M182MTIzMTkuaHRtbNIBRmh0dHBzOi8vZW4uYXMuY29tL2VuLzIwMjAvMDcvMDUvbGF0ZXN0X25ld3MvMTU5MzkzMDE1M182MTIzMTkuYW1wLmh0bWw?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus daily news updates, July 5: What to know today about COVID-19 in the Seattle area, Washington state and the world","The Puget Sound area and the nation celebrated a quiet Fourth of July holiday on Saturday — no Mariners baseball, no big party in Gas Works Park — as rising ...",Seattle Times,https://www.news.google.com/./articles/CBMirAFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL3NlYXR0bGUtbmV3cy9oZWFsdGgvY29yb25hdmlydXMtZGFpbHktbmV3cy11cGRhdGVzLWp1bHktNS13aGF0LXRvLWtub3ctdG9kYXktYWJvdXQtY292aWQtMTktaW4tdGhlLXNlYXR0bGUtYXJlYS13YXNoaW5ndG9uLXN0YXRlLWFuZC10aGUtd29ybGQv0gGyAWh0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vc2VhdHRsZS1uZXdzL2hlYWx0aC9jb3JvbmF2aXJ1cy1kYWlseS1uZXdzLXVwZGF0ZXMtanVseS01LXdoYXQtdG8ta25vdy10b2RheS1hYm91dC1jb3ZpZC0xOS1pbi10aGUtc2VhdHRsZS1hcmVhLXdhc2hpbmd0b24tc3RhdGUtYW5kLXRoZS13b3JsZC8_YW1wPTE?hl=en-PK&gl=PK&ceid=PK%3Aen
India coronavirus numbers explained: Cases in four states growing faster than national average,"India Coronavirus, Covid-19 Cases Tracker Today Latest News Update: Tamil Nadu, Karnataka, Telangana, and Andhra Pradesh are now in the top ten list of ...",The Indian Express,https://www.news.google.com/./articles/CAIiEP9Aw8GEwRsrC4A2Ec4NBqoqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?hl=en-PK&gl=PK&ceid=PK%3Aen
"Maharashtra, Mumbai Coronavirus Live Updates: 2.06 lakh cases; BMC-run hospitals to begin using Remdesivir from today","Maharashtra, Mumbai, Pune Coronavirus News Live Updates Today, Covid-19 Cases Tracker, Corona Cases in India, Lockdown Latest News Update: While the ...",The Indian Express,https://www.news.google.com/./articles/CAIiEKbPatLxre1RI54Lv4W8Ql4qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-PK&gl=PK&ceid=PK%3Aen
Karnataka Bengaluru Coronavirus Live Updates: Vidhana Soudha to be sanitised today after policeman tests positive,Karnataka Bengaluru Coronavirus (Covid-19) Latest News Live Updates: The government has granted leave to the employees who are aged above 50 years to ...,The Indian Express,https://www.news.google.com/./articles/CAIiECUbLBAQUSsuyKyhtHeYdMwqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus updates: Seven-day average case total in the U.S. sets record for 27th straight day,Officials in states with surging coronavirus cases issued dire warnings and blamed outbreaks on early reopenings Sunday as the seven-day average for daily ...,The Washington Post,https://www.news.google.com/./articles/CAIiEJ_UQE0cSS04aNJ2hO8P-5sqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus (COVID-19) Update: Daily Roundup July 1, 2020","The U.S. Food and Drug Administration today announced the following actions taken in its ongoing response effort to the COVID-19 pandemic: Today, the U.S. ...",FDA.gov,https://www.news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmZkYS5nb3YvbmV3cy1ldmVudHMvcHJlc3MtYW5ub3VuY2VtZW50cy9jb3JvbmF2aXJ1cy1jb3ZpZC0xOS11cGRhdGUtZGFpbHktcm91bmR1cC1qdWx5LTEtMjAyMNIBAA?hl=en-PK&gl=PK&ceid=PK%3Aen
WHO says Pakistan should reimpose lockdown to curb coronavirus,"Cases increased exponentially since the lockdown was lifted in late May, with record-high cases registered on Tuesday.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEDqnVi1rh3adLYZRPgc8fywqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
"Today's coronavirus news: Hamilton native and Broadway star Nick Cordero dies of COVID-19; NHL, players strike deal to resume; 124 new cases in Ontario, in Star's tally",The latest coronavirus news from Canada and around the world Sunday. This file will be updated throughout the day. Web links to longer stories if available.,Toronto Star,https://www.news.google.com/./articles/CAIiEJ-JONFblCYGHf5A3f3p7oUqFwgEKg4IACoGCAow6bV4MPfJDDDB1MUF?hl=en-PK&gl=PK&ceid=PK%3Aen
WHO sees 'green shoots of hope' in coronavirus pandemic: Live,"Despite cases still accelerating globally, WHO chief says steroid-based treatment holds promise in fight against virus.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEKbbT7wO4mofPiFGPZblExQqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus Briefing: What Happened Today,"Californians are asking themselves, what went wrong?",The New York Times,https://www.news.google.com/./articles/CAIiEMrvNbQTBnZ58vAa8sbVnb4qFwgEKg8IACoHCAowjuuKAzCWrzww5oEY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Florida surpasses 200,000 coronavirus cases","Florida surpassed 200,000 coronavirus cases as the state reported another 10,059 new positives on Sunday. The state has reported more than 10,000 new ...",NBC News,https://www.news.google.com/./articles/CAIiEJfX_Cn7mr8hkmprijNm1HQqGQgEKhAIACoHCAowvIaCCzDnxf4CMN2F8gU?hl=en-PK&gl=PK&ceid=PK%3Aen
Pakistan hospitals struggle as coronavirus cases explode,Country sees multiple consecutive days of record cases and deaths as overworked doctors plead for 'breathing space'.,Al Jazeera English,https://www.news.google.com/./articles/CAIiEFuOCYeq7vIl0fV87oR3E7wqFAgEKgwIACoFCAowhgIwkDgw87UI?hl=en-PK&gl=PK&ceid=PK%3Aen
"Victoria hit with record number of coronavirus cases, with two new deaths","Victoria has recorded its largest amount of coronavirus infections since the pandemic began, with 127 cases detected overnight and two fatalities.",9News,https://www.news.google.com/./articles/CAIiELXul-WIbw5XdQf7l_4WDjsqGQgEKhAIACoHCAowpLPzCjDR6IMDMOKTxwY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus daily news updates, July 4: What to know today about COVID-19 in the Seattle area, Washington state and the world","Editor's note: This is a live account of COVID-19 updates from Saturday, July 4, as the day unfolded. It is no longer being updated. Click here to see all the most ...",Seattle Times,https://www.news.google.com/./articles/CBMirAFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL3NlYXR0bGUtbmV3cy9oZWFsdGgvY29yb25hdmlydXMtZGFpbHktbmV3cy11cGRhdGVzLWp1bHktNC13aGF0LXRvLWtub3ctdG9kYXktYWJvdXQtY292aWQtMTktaW4tdGhlLXNlYXR0bGUtYXJlYS13YXNoaW5ndG9uLXN0YXRlLWFuZC10aGUtd29ybGQv0gGyAWh0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vc2VhdHRsZS1uZXdzL2hlYWx0aC9jb3JvbmF2aXJ1cy1kYWlseS1uZXdzLXVwZGF0ZXMtanVseS00LXdoYXQtdG8ta25vdy10b2RheS1hYm91dC1jb3ZpZC0xOS1pbi10aGUtc2VhdHRsZS1hcmVhLXdhc2hpbmd0b24tc3RhdGUtYW5kLXRoZS13b3JsZC8_YW1wPTE?hl=en-PK&gl=PK&ceid=PK%3Aen
"Tamil Nadu Coronavirus News Live Updates: Lockdown in four districts to ease from today, EPS issues guidelines","Tamil Nadu Chennai Coronavirus (COVID-19) Latest News Live Updates Today, Chennai Lockdown Guidelines, TN Corona Virus Cases News Updates: ...",The Indian Express,https://www.news.google.com/./articles/CAIiEL-xGplTUkLZ_Q7fcUVTRQUqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-PK&gl=PK&ceid=PK%3Aen
The Pandemic’s Big Mystery: How Deadly Is the Coronavirus?,"Even with more than 500000 dead worldwide, scientists are struggling to learn how often the virus kills. Here's why.",The New York Times,https://www.news.google.com/./articles/CAIiEJMAAygwfjj9BCsduQPYhKEqFwgEKg8IACoHCAowjuuKAzCWrzwwloIY?hl=en-PK&gl=PK&ceid=PK%3Aen
Lack of leadership 'greatest threat' in coronavirus fight: Live,"WHO warns pandemic accelerating as it reports record daily global case rise while outbreak surges in Brazil, India.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEIxBFUGtCkSAJpJnS1Hb4x0qFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
"As coronavirus cases skyrocket, US marks July Fourth with pleas for people to skip the parties","After a week of skyrocketing coronavirus cases in the United States, officials are issuing a stark warning this July Fourth: Skip the parties.",CNN,https://www.news.google.com/./articles/CAIiEEm1tluI1W0Zv3IGGp-0SX4qGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-PK&gl=PK&ceid=PK%3Aen
"US coronavirus deaths top 110,000: Live updates",Number of cases approach two million as nationwide protests against racial injustice spark fears of resurgence of virus.,Al Jazeera English,https://www.news.google.com/./articles/CAIiEFYk8sricYhxcYgCkPObCEMqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus daily news updates, July 3: What to know today about COVID-19 in the Seattle area, Washington state and the world","Throughout Friday, on this page, we'll post updates from Seattle Times journalists and others on the pandemic and its effects on the Seattle area, the Pacific ...",Seattle Times,https://www.news.google.com/./articles/CBMirAFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL3NlYXR0bGUtbmV3cy9oZWFsdGgvY29yb25hdmlydXMtZGFpbHktbmV3cy11cGRhdGVzLWp1bHktMy13aGF0LXRvLWtub3ctdG9kYXktYWJvdXQtY292aWQtMTktaW4tdGhlLXNlYXR0bGUtYXJlYS13YXNoaW5ndG9uLXN0YXRlLWFuZC10aGUtd29ybGQv0gGyAWh0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vc2VhdHRsZS1uZXdzL2hlYWx0aC9jb3JvbmF2aXJ1cy1kYWlseS1uZXdzLXVwZGF0ZXMtanVseS0zLXdoYXQtdG8ta25vdy10b2RheS1hYm91dC1jb3ZpZC0xOS1pbi10aGUtc2VhdHRsZS1hcmVhLXdhc2hpbmd0b24tc3RhdGUtYW5kLXRoZS13b3JsZC8_YW1wPTE?hl=en-PK&gl=PK&ceid=PK%3Aen
'No time to take foot off pedal' - WHO: Coronavirus live updates,WHO urges countries to keep up with efforts to contain coronavirus as global situation worsens.,Al Jazeera English,https://www.news.google.com/./articles/CAIiEHMGd6xosHCLkS4wIYAI8iIqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
